generationDate,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
17:00:30,0.4735,0.4451,384,361,96.0000,90.2500,56.1160,72.3235,811,202.7500,4,833,137,0.1412,970,208.2500,34.2500,242.5000,0.1275,0.0273,63,732,101,4,15.7500,183.0000,25.2500,1.0000,811,0.0002
17:01:00,0.6944,0.2186,2084,656,189.4545,59.6364,42.6729,14.3924,3001,272.8182,11,3124,542,0.1478,3666,284.0000,49.2727,333.2727,0.1442,0.0376,166,2930,194,0,15.0909,266.3636,17.6364,0.0000,3812,0.0009
17:01:30,0.6192,0.2957,5629,2688,156.3611,74.6667,53.6533,31.5639,9091,252.5278,36,9435,1908,0.1682,11343,262.0833,53.0000,315.0833,0.1660,0.0475,800,8329,1106,8,22.2222,231.3611,30.7222,0.2222,12903,0.0030
17:02:00,0.6395,0.2703,13496,5705,173.0256,73.1410,49.2805,24.5601,21104,270.5641,78,21816,4423,0.1686,26239,279.6923,56.7051,336.3974,0.1670,0.0445,1469,19907,1909,205,18.8333,255.2179,24.4744,2.6282,34007,0.0079
17:02:30,0.6326,0.2800,58935,26084,161.9093,71.6593,49.8722,29.3571,93156,255.9231,364,96443,19610,0.1690,116053,264.9533,53.8736,318.8269,0.1672,0.0512,6994,86678,9765,549,19.2143,238.1264,26.8269,1.5082,127163,0.0294
17:03:00,0.6281,0.2869,144735,66116,158.0076,72.1790,47.9403,28.4902,230436,251.5677,916,238819,49365,0.1713,288184,260.7194,53.8919,314.6114,0.1692,0.0452,20292,213855,24964,419,22.1528,233.4662,27.2533,0.4574,357599,0.0826
17:03:30,0.6210,0.2940,216408,102450,156.8174,74.1854,47.8802,30.1679,348500,252.3534,1381,361011,76986,0.1758,437997,261.4127,55.7466,317.1593,0.1744,0.0472,30959,321727,39284,1244,22.4178,232.9667,28.4461,0.9008,706099,0.1630
17:04:00,0.6198,0.2955,248900,118681,156.4425,74.5952,46.3580,30.0125,401563,252.3966,1591,415561,90113,0.1782,505674,261.1948,56.6392,317.8341,0.1765,0.0482,37655,367937,47624,1308,23.6675,231.2615,29.9334,0.8221,1107662,0.2558
17:04:30,0.6199,0.2965,230991,110476,157.9966,75.5650,45.7604,31.1706,372634,254.8796,1462,385939,85997,0.1822,471936,263.9802,58.8215,322.8016,0.1804,0.0506,35250,338921,47018,1567,24.1108,231.8201,32.1601,1.0718,1480296,0.3418
17:05:00,0.6239,0.2916,183870,85949,161.7150,75.5928,44.8623,30.2149,294733,259.2199,1137,305320,66926,0.1798,372246,268.5312,58.8619,327.3931,0.1784,0.0463,28025,271153,34167,1257,24.6482,238.4811,30.0501,1.1055,1775029,0.4098
17:05:30,0.6206,0.2957,161558,76979,160.7542,76.5960,44.1044,28.4089,260312,259.0169,1005,269720,60718,0.1838,330438,268.3781,60.4159,328.7940,0.1825,0.0467,24394,237494,32226,428,24.2726,236.3124,32.0657,0.4259,2035341,0.4699
17:06:00,0.6153,0.3005,132766,64841,160.1520,78.2159,44.5085,29.4220,215757,260.2618,829,223805,50248,0.1834,274053,269.9698,60.6128,330.5826,0.1815,0.0480,20502,196989,26816,720,24.7310,237.6224,32.3474,0.8685,2251098,0.5198
17:06:30,0.6206,0.2936,101792,48162,161.8315,76.5692,44.7229,27.2921,164023,260.7679,629,169927,38434,0.1845,208361,270.1542,61.1033,331.2576,0.1829,0.0464,16031,150490,19437,1048,25.4865,239.2528,30.9014,1.6661,2415121,0.5576
17:07:00,0.6124,0.3015,86133,42415,160.6959,79.1325,43.4259,29.1794,140657,262.4198,536,145766,33710,0.1878,179476,271.9515,62.8918,334.8433,0.1868,0.0469,13156,127587,18179,606,24.5448,238.0354,33.9160,1.1306,2555778,0.5901
17:07:30,0.6156,0.2973,78318,37817,165.9280,80.1208,44.2107,31.6902,127213,269.5191,472,131881,30050,0.1856,161931,279.4089,63.6653,343.0742,0.1846,0.0446,11667,117113,14768,1301,24.7182,248.1208,31.2881,2.7564,2682991,0.6195
17:08:00,0.6152,0.2995,60331,29369,161.3128,78.5267,44.7612,29.6625,98061,262.1952,374,101923,23364,0.1865,125287,272.5214,62.4706,334.9920,0.1853,0.0449,9921,89595,12328,258,26.5267,239.5588,32.9626,0.6898,2781052,0.6421
17:08:30,0.6201,0.2952,52256,24878,165.3671,78.7278,45.5774,29.5459,84277,266.6994,316,87330,20173,0.1877,107503,276.3608,63.8386,340.1994,0.1859,0.0485,8254,76341,10989,1264,26.1203,241.5854,34.7753,4.0000,2865329,0.6616
17:09:00,0.6179,0.2991,49785,24102,165.9500,80.3400,47.9478,30.8581,80570,268.5667,300,83545,19474,0.1890,103019,278.4833,64.9133,343.3967,0.1890,0.0450,7345,73542,10003,278,24.4833,245.1400,33.3433,0.9267,2945899,0.6802
17:09:30,0.6122,0.3071,35447,17785,165.6402,83.1075,46.4164,33.3295,57904,270.5794,214,60027,14064,0.1898,74091,280.5000,65.7196,346.2196,0.1884,0.0492,5212,52375,7652,527,24.3551,244.7430,35.7570,2.4626,3003803,0.6936
17:10:00,0.6269,0.2903,38132,17658,171.7658,79.5405,39.7952,26.2703,60823,273.9775,222,63114,15039,0.1924,78153,284.2973,67.7432,352.0405,0.1917,0.0462,5990,55767,7347,137,26.9820,251.2027,33.0946,0.6171,3064626,0.7076
17:10:30,0.6142,0.3054,30134,14983,165.5714,82.3242,43.4479,26.7339,49063,269.5769,182,50865,12365,0.1956,63230,279.4780,67.9396,347.4176,0.1950,0.0514,4854,44497,6368,605,26.6703,244.4890,34.9890,3.3242,3113689,0.7189
17:11:00,0.6215,0.2941,25682,12153,175.9041,83.2397,39.6492,30.4908,41321,283.0205,146,42810,9677,0.1844,52487,293.2192,66.2808,359.5000,0.1831,0.0520,3540,37971,4839,552,24.2466,260.0753,33.1438,3.7808,3155010,0.7285
17:11:30,0.6270,0.2916,25437,11832,174.2260,81.0411,39.8849,28.7428,40570,277.8767,146,42034,9894,0.1905,51928,287.9041,67.7671,355.6712,0.1895,0.0459,4411,37059,4975,349,30.2123,253.8288,34.0753,2.3904,3195580,0.7378
17:12:00,0.6094,0.3081,19869,10045,168.3814,85.1271,41.4373,25.9568,32605,276.3136,118,33922,8337,0.1973,42259,287.4746,70.6525,358.1271,0.1968,0.0509,2989,29851,4071,90,25.3305,252.9746,34.5000,0.7627,3228185,0.7454
17:12:30,0.6116,0.3041,16627,8267,175.0211,87.0211,37.8009,26.0546,27186,286.1684,95,28161,6510,0.1878,34671,296.4316,68.5263,364.9579,0.1868,0.0424,2702,24847,3314,11,28.4421,261.5474,34.8842,0.1158,3255371,0.7516
17:13:00,0.6043,0.3102,13392,6874,173.9221,89.2727,39.9960,35.5494,22161,287.8052,77,22879,5191,0.1849,28070,297.1299,67.4156,364.5455,0.1853,0.0388,2162,19934,2945,72,28.0779,258.8831,38.2468,0.9351,3277532,0.7568
17:13:30,0.6068,0.3123,16052,8261,168.9684,86.9579,44.2891,30.2028,26452,278.4421,95,27449,6777,0.1980,34226,288.9368,71.3368,360.2737,0.1994,0.0483,2816,24457,2992,99,29.6421,257.4421,31.4947,1.0421,3303984,0.7629
17:14:00,0.6157,0.3019,13412,6577,171.9487,84.3205,46.8866,30.1617,21782,279.2564,78,22557,5166,0.1863,27723,289.1923,66.2308,355.4231,0.1860,0.0409,2482,19943,2614,53,31.8205,255.6795,33.5128,0.6795,3325766,0.7679
17:14:30,0.6211,0.2995,15416,7433,175.1818,84.4659,46.1848,31.1743,24822,282.0682,88,25728,5636,0.1797,31364,292.3636,64.0455,356.4091,0.1789,0.0414,2764,22779,2949,92,31.4091,258.8523,33.5114,1.0455,3350588,0.7736
17:15:00,0.6310,0.2947,13623,6362,174.6538,81.5641,44.1997,26.0372,21589,276.7821,78,22342,5286,0.1913,27628,286.4359,67.7692,354.2051,0.1897,0.0538,2319,19499,2843,35,29.7308,249.9872,36.4487,0.4487,3372177,0.7786
17:15:30,0.5922,0.3280,10789,5975,168.5781,93.3594,40.2208,29.0357,18218,284.6563,64,18904,4716,0.1997,23620,295.3750,73.6875,369.0625,0.1988,0.0440,1591,16353,2551,54,24.8594,255.5156,39.8594,0.8438,3390395,0.7828
17:16:00,0.5968,0.3200,13080,7014,167.6923,89.9231,36.3876,33.0872,21917,280.9872,78,22683,5761,0.2025,28444,290.8077,73.8590,364.6667,0.2013,0.0550,2678,19938,2745,58,34.3333,255.6154,35.1923,0.7436,3412312,0.7879
17:16:30,0.6171,0.3036,12800,6298,175.3425,86.2740,41.8606,28.4568,20743,284.1507,73,21539,5158,0.1932,26697,295.0548,70.6575,365.7123,0.1928,0.0439,2396,18736,2803,4,32.8219,256.6575,38.3973,0.0548,3433055,0.7927
17:17:00,0.6014,0.3120,9860,5115,172.9825,89.7368,40.8920,33.7330,16396,287.6491,57,16945,4024,0.1919,20969,297.2807,70.5965,367.8772,0.1917,0.0477,1825,14662,2283,58,32.0175,257.2281,40.0526,1.0175,3449451,0.7965
17:17:30,0.6385,0.2819,10611,4685,186.1579,82.1930,29.0528,23.0449,16619,291.5614,57,17234,4201,0.1960,21435,302.3509,73.7018,376.0526,0.1955,0.0362,1844,15402,1832,36,32.3509,270.2105,32.1404,0.6316,3466070,0.8003
17:18:00,0.6318,0.2869,9242,4197,184.8400,83.9400,40.0187,29.3724,14629,292.5800,50,15142,3407,0.1837,18549,302.8400,68.1400,370.9800,0.1831,0.0462,1608,13725,1417,37,32.1600,274.5000,28.3400,0.7400,3480699,0.8037
17:18:30,0.6371,0.2839,9193,4097,183.8600,81.9400,37.7937,27.1959,14429,288.5800,50,14954,3435,0.1868,18389,299.0800,68.7000,367.7800,0.1843,0.0648,1599,12905,2049,32,31.9800,258.1000,40.9800,0.6400,3495128,0.8070
17:19:00,0.6008,0.3154,6779,3559,173.8205,91.2564,34.2336,33.6816,11283,289.3077,39,11749,2669,0.1851,14418,301.2564,68.4359,369.6923,0.1842,0.0446,1166,10404,1345,91,29.8974,266.7692,34.4872,2.3333,3506411,0.8096
17:19:30,0.6149,0.3068,12305,6139,175.7857,87.7000,39.9324,27.4639,20011,285.8714,70,20813,4817,0.1879,25630,297.3286,68.8143,366.1429,0.1868,0.0433,2436,18137,2676,32,34.8000,259.1000,38.2286,0.4571,3526422,0.8142
17:20:00,0.5816,0.3386,8840,5147,170.0000,98.9808,45.2076,47.5210,15199,292.2885,52,15730,3753,0.1926,19483,302.5000,72.1731,374.6731,0.1933,0.0525,1946,13624,2106,50,37.4231,262.0000,40.5000,0.9615,3541621,0.8177
17:20:30,0.6121,0.3020,8175,4033,177.7174,87.6739,34.7342,24.3079,13356,290.3478,46,13859,3333,0.1939,17192,301.2826,72.4565,373.7391,0.1936,0.0468,1364,11983,1876,44,29.6522,260.5000,40.7826,0.9565,3554977,0.8208
17:21:00,0.6318,0.2878,10301,4693,183.9464,83.8036,29.3333,24.1782,16305,291.1607,56,16912,4118,0.1958,21030,302.0000,73.5357,375.5357,0.1957,0.0474,1910,14355,2557,82,34.1071,256.3393,45.6607,1.4643,3571282,0.8246
17:21:30,0.6130,0.3056,7803,3890,173.4000,86.4444,38.6652,32.0552,12729,282.8667,45,13239,3321,0.2005,16560,294.2000,73.8000,368.0000,0.1983,0.0477,1512,11330,1909,4,33.6000,251.7778,42.4222,0.0889,3584011,0.8275
17:22:00,0.6324,0.2899,7670,3516,178.3721,81.7674,41.9707,31.2825,12129,282.0698,43,12576,3256,0.2057,15832,292.4651,75.7209,368.1860,0.2053,0.0481,1631,10998,1578,1,37.9302,255.7674,36.6977,0.0233,3596140,0.8303
17:22:30,0.6166,0.3018,8888,4350,185.1667,90.6250,38.8927,30.6415,14414,300.2917,48,14926,3117,0.1728,18043,310.9583,64.9375,375.8958,0.1728,0.0411,1498,13294,1632,63,31.2083,276.9583,34.0000,1.3125,3610554,0.8337
17:23:00,0.6049,0.3150,6844,3564,175.4872,91.3846,42.7304,29.6653,11315,290.1282,39,11768,2781,0.1911,14549,301.7436,71.3077,373.0513,0.1915,0.0473,1188,10468,1300,117,30.4615,268.4103,33.3333,3.0000,3621869,0.8363
17:23:30,0.5841,0.3329,5959,3396,170.2571,97.0286,37.6414,35.9519,10202,291.4857,35,10574,2538,0.1936,13112,302.1143,72.5143,374.6286,0.1930,0.0572,1070,9177,1397,58,30.5714,262.2000,39.9143,1.6571,3632071,0.8386
17:24:00,0.6000,0.3217,6301,3378,175.0278,93.8333,46.1311,41.8260,10502,291.7222,36,10871,2743,0.2015,13614,301.9722,76.1944,378.1667,0.2007,0.0428,1345,9671,1200,16,37.3611,268.6389,33.3333,0.4444,3642573,0.8410
17:24:30,0.5809,0.3374,6719,3903,167.9750,97.5750,42.6629,32.4560,11567,289.1750,40,11988,2917,0.1957,14905,299.7000,72.9250,372.6250,0.1963,0.0495,1328,10790,1198,61,33.2000,269.7500,29.9500,1.5250,3654140,0.8437
17:25:00,0.6167,0.3117,4857,2455,173.4643,87.6786,39.7299,29.8281,7876,281.2857,28,8176,2074,0.2023,10250,292.0000,74.0714,366.0714,0.2019,0.0485,958,7106,1070,0,34.2143,253.7857,38.2143,0.0000,3662016,0.8455
17:25:30,0.6318,0.2930,8012,3715,182.0909,84.4318,39.6357,25.9654,12681,288.2045,44,13185,3184,0.1945,16369,299.6591,72.3636,372.0227,0.1945,0.0453,1388,11408,1777,20,31.5455,259.2727,40.3864,0.4545,3674697,0.8485