id,name
61000,EUCLIDES DA CUNHA PAULISTA
61018,ADAMANTINA
61026,BOREBI
61034,ADOLFO
61042,TARUMÃ
61050,AGUAÍ
61069,MOTUCA
61077,ÁGUAS DA PRATA
61085,IARAS
61093,ÁGUAS DE LINDÓIA
61107,GUATAPARÁ
61115,ÁGUAS DE SÃO PEDRO
61123,DIRCE REIS
61131,AGUDOS
61140,ESPÍRITO SANTO DO TURVO
61158,ALFREDO MARCONDES
61166,ROSANA
61174,ALTAIR
61182,EMBAÚBA
61190,ALTINÓPOLIS
61204,ILHA SOLTEIRA
61212,ALTO ALEGRE
61220,ALUMÍNIO
61239,ÁLVARES FLORENCE
61247,PEDRINHAS PAULISTA
61255,ÁLVARES MACHADO
61263,ARAÇARIGUAMA
61271,ÁLVARO DE CARVALHO
61280,BERTIOGA
61298,ALVINLÂNDIA
61301,SUZANÁPOLIS
61310,AMERICANA
61328,SANTO ANTÔNIO DO ARACANGUÁ
61336,AMÉRICO BRASILIENSE
61344,CANITAR
61352,AMÉRICO DE CAMPOS
61360,BARRA DO CHAPÉU
61379,AMPARO
61387,EMILIANÓPOLIS
61395,ANALÂNDIA
61409,NOVAIS
61417,ANDRADINA
61425,NOVA CANAÃ PAULISTA
61433,ANGATUBA
61441,SALTINHO
61450,ANHEMBI
61468,UBARANA
61476,ANHUMAS
61484,CAJATI
61492,APARECIDA
61506,CAMPINA DO MONTE ALEGRE
61514,APARECIDA D'OESTE
61522,ASPÁSIA
61530,APIAÍ
61549,VARGEM
61557,ARAÇATUBA
61565,POTIM
61573,ARAÇOIABA DA SERRA
61581,ALAMBARI
61590,ARAMINA
61603,ITAOCA
61611,ARANDU
61620,TUIUTI
61638,ARARAQUARA
61646,ARAPEÍ
61654,ARARAS
61662,ESTIVA GERBI
61670,AREALVA
61689,ENGENHEIRO COELHO
61697,AREIAS
61700,RIBEIRÃO GRANDE
61719,AREIÓPOLIS
61727,HORTOLÂNDIA
61735,ARIRANHA
61743,HOLAMBRA
61751,ARTUR NOGUEIRA
61760,ELISIÁRIO
61778,ARUJÁ
61786,BOM SUCESSO DE ITARARÉ
61794,ASSIS
61808,PONTALINDA
61816,ATIBAIA
61824,PARISI
61832,AURIFLAMA
61840,TAQUARIVAÍ
61859,AVAÍ
61867,MARAPOAMA
61875,AVANHANDAVA
61883,SÃO JOÃO DE IRACEMA
61891,AVARÉ
61905,SÃO LOURENÇO DA SERRA
61913,BADY BASSITT
61921,ZACARIAS
61930,BALBINOS
61948,ITAPIRAPUÃ PAULISTA
61956,BÁLSAMO
61964,MESÓPOLIS
61972,BANANAL
61980,NOVA CAMPINA
61999,BARBOSA
62006,ILHA COMPRIDA
62014,BARÃO DE ANTONINA
62022,LOURDES
62030,BARIRI
62049,TORRE DE PEDRA
62057,BARRA BONITA
62065,ARCO-ÍRIS
62073,BARRA DO TURVO
62081,BREJO ALEGRE
62090,BARRETOS
62103,CANAS
62111,BARRINHA
62120,PRACINHA
62138,BARUERI
62146,PRATÂNIA
62154,BASTOS
62162,QUADRA
62170,BATATAIS
62189,SANTA CRUZ DA ESPERANÇA
62197,BAURU
62200,SANTA SALETE
62219,BEBEDOURO
62227,VITÓRIA BRASIL
62235,BENTO DE ABREU
62243,IPIGUÁ
62251,BERNARDINO DE CAMPOS
62260,TAQUARAL
62278,BILAC
62286,FERNÃO
62294,BIRIGUI
62308,GAVIÃO PEIXOTO
62316,BIRITIBA MIRIM
62324,JUMIRIM
62332,BOA ESPERANÇA DO SUL
62340,NANTES
62359,BOCAINA
62367,NOVA CASTILHO
62375,BOFETE
62383,OUROESTE
62391,BOITUVA
62405,PAULISTÂNIA
62413,BOM JESUS DOS PERDÕES
62421,RIBEIRÃO DOS ÍNDIOS
62430,BORÁ
62448,TRABIJU
62456,BORACÉIA
62472,BORBOREMA
62499,BOTUCATU
62510,BRAGANÇA PAULISTA
62553,BRAÚNA
62570,BRODOWSKI
62596,BROTAS
62618,BURI
62634,BURITAMA
62650,BURITIZAL
62677,CABRÁLIA PAULISTA
62693,CABREÚVA
62715,CAÇAPAVA
62731,CACHOEIRA PAULISTA
62758,CACONDE
62774,CAFELÂNDIA
62790,CAIABU
62812,CAIEIRAS
62839,CAIUÁ
62855,CAJAMAR
62871,CAJOBI
62898,CAJURU
62910,CAMPINAS
62936,CAMPO LIMPO PAULISTA
62952,CAMPOS DO JORDÃO
62979,CAMPOS NOVOS PAULISTA
62995,CANANÉIA
63010,CÂNDIDO MOTA
63037,CÂNDIDO RODRIGUES
63053,CAPÃO BONITO
63070,CAPELA DO ALTO
63096,CAPIVARI
63118,CARAGUATATUBA
63134,CARAPICUÍBA
63150,CARDOSO
63177,CASA BRANCA
63193,CÁSSIA DOS COQUEIROS
63215,CASTILHO
63231,CATANDUVA
63258,CATIGUÁ
63274,CEDRAL
63290,CERQUEIRA CÉSAR
63312,CERQUILHO
63339,CESÁRIO LANGE
63355,CHARQUEADA
63371,CHAVANTES
63398,CLEMENTINA
63410,COLINA
63436,COLÔMBIA
63452,CONCHAL
63479,CONCHAS
63495,CORDEIRÓPOLIS
63517,COROADOS
63533,CORONEL MACEDO
63550,CORUMBATAÍ
63576,COSMÓPOLIS
63592,COSMORAMA
63614,COTIA
63630,CRAVINHOS
63657,CRISTAIS PAULISTA
63673,CRUZÁLIA
63690,CRUZEIRO
63711,CUBATÃO
63738,CUNHA
63754,DESCALVADO
63770,DIADEMA
63797,DIVINOLÂNDIA
63819,DOBRADA
63835,DOIS CÓRREGOS
63851,DOLCINÓPOLIS
63878,DOURADO
63894,DRACENA
63916,DUARTINA
63932,DUMONT
63959,ECHAPORÃ
63975,ELDORADO
63991,ELIAS FAUSTO
64017,EMBU DAS ARTES
64033,EMBU-GUAÇU
64050,ESTRELA D'OESTE
64076,ESTRELA DO NORTE
64092,FARTURA
64114,FERNANDÓPOLIS
64130,FERNANDO PRESTES
64157,FERRAZ DE VASCONCELOS
64173,FLORA RICA
64190,FLOREAL
64211,FLÓRIDA PAULISTA
64238,FLORÍNEA
64254,FRANCA
64270,FRANCISCO MORATO
64297,FRANCO DA ROCHA
64319,GABRIEL MONTEIRO
64335,GÁLIA
64351,GARÇA
64378,GASTÃO VIDIGAL
64394,GENERAL SALGADO
64416,GETULINA
64432,GLICÉRIO
64459,GUAIÇARA
64475,GUAIMBÊ
64491,GUAÍRA
64513,GUAPIAÇU
64530,GUAPIARA
64556,GUARÁ
64572,GUARAÇAÍ
64599,GUARACI
64610,GUARANI D'OESTE
64637,GUARANTÃ
64653,GUARARAPES
64670,GUARAREMA
64696,GUARATINGUETÁ
64718,GUAREÍ
64734,GUARIBA
64750,GUARUJÁ
64777,GUARULHOS
64793,GUZOLÂNDIA
64815,HERCULÂNDIA
64831,IACANGA
64858,IACRI
64874,IBATÉ
64890,IBIRÁ
64912,IBIRAREMA
64939,IBITINGA
64955,IBIÚNA
64971,ICÉM
64998,IEPÊ
65013,IGARAÇU DO TIETÊ
65030,IGARAPAVA
65056,IGARATÁ
65072,IGUAPE
65099,ILHABELA
65110,INDAIATUBA
65137,INDIANA
65153,INDIAPORÃ
65170,INÚBIA PAULISTA
65196,IPAUSSU
65218,IPERÓ
65234,IPEÚNA
65250,IPORANGA
65277,IPUÃ
65293,IRACEMÁPOLIS
65315,IRAPUÃ
65331,IRAPURU
65358,ITABERÁ
65374,ITAÍ
65390,ITAJOBI
65412,ITAJU
65439,ITANHAÉM
65455,ITAPECERICA DA SERRA
65471,ITAPETININGA
65498,ITAPEVA
65510,ITAPEVI
65536,ITAPIRA
65552,ITÁPOLIS
65579,ITAPORANGA
65595,ITAPUÍ
65617,ITAPURA
65633,ITAQUAQUECETUBA
65650,ITARARÉ
65676,ITARIRI
65692,ITATIBA
65714,ITATINGA
65730,ITIRAPINA
65757,ITIRAPUÃ
65773,ITOBI
65790,ITU
65811,ITUPEVA
65838,ITUVERAVA
65854,JABORANDI
65870,JABOTICABAL
65897,JACAREÍ
65919,JACI
65935,JACUPIRANGA
65951,JAGUARIÚNA
65978,JALES
65994,JAMBEIRO
66010,JANDIRA
66036,JARDINÓPOLIS
66052,JARINU
66079,JAÚ
66095,JERIQUARA
66117,JOANÓPOLIS
66133,JOÃO RAMALHO
66150,JOSÉ BONIFÁCIO
66176,JÚLIO MESQUITA
66192,JUNDIAÍ
66214,JUNQUEIRÓPOLIS
66230,JUQUIÁ
66257,JUQUITIBA
66273,LAGOINHA
66290,LARANJAL PAULISTA
66311,LAVÍNIA
66338,LAVRINHAS
66354,LEME
66370,LENÇÓIS PAULISTA
66397,LIMEIRA
66419,LINDÓIA
66435,LINS
66451,LORENA
66478,LOUVEIRA
66494,LUCÉLIA
66516,LUCIANÓPOLIS
66532,LUÍS ANTÔNIO
66559,LUIZIÂNIA
66575,LUPÉRCIO
66591,LUTÉCIA
66613,MACATUBA
66630,MACAUBAL
66656,MACEDÔNIA
66672,MAGDA
66699,MAIRINQUE
66710,MAIRIPORÃ
66737,MANDURI
66753,MARABÁ PAULISTA
66770,MARACAÍ
66796,MARIÁPOLIS
66818,MARÍLIA
66834,MARINÓPOLIS
66850,MARTINÓPOLIS
66877,MATÃO
66893,MAUÁ
66915,MENDONÇA
66931,MERIDIANO
66958,MIGUELÓPOLIS
66974,MINEIROS DO TIETÊ
66990,MIRACATU
67016,MIRA ESTRELA
67032,MIRANDÓPOLIS
67059,MIRANTE DO PARANAPANEMA
67075,MIRASSOL
67091,MIRASSOLÂNDIA
67113,MOCOCA
67130,MOGI DAS CRUZES
67156,MOGI GUAÇU
67172,MOGI MIRIM
67199,MOMBUCA
67210,MONÇÕES
67237,MONGAGUÁ
67253,MONTE ALEGRE DO SUL
67270,MONTE ALTO
67296,MONTE APRAZÍVEL
67318,MONTE AZUL PAULISTA
67334,MONTE CASTELO
67350,MONTEIRO LOBATO
67377,MONTE MOR
67393,MORRO AGUDO
67415,MORUNGABA
67431,MURUTINGA DO SUL
67458,NARANDIBA
67474,NATIVIDADE DA SERRA
67490,NAZARÉ PAULISTA
67512,NEVES PAULISTA
67539,NHANDEARA
67555,NIPOÃ
67571,NOVA ALIANÇA
67598,NOVA EUROPA
67610,NOVA GRANADA
67636,NOVA GUATAPORANGA
67652,NOVA INDEPENDÊNCIA
67679,NOVA LUZITÂNIA
67695,NOVA ODESSA
67717,NOVO HORIZONTE
67733,NUPORANGA
67750,OCAUÇU
67776,ÓLEO
67792,OLÍMPIA
67814,ONDA VERDE
67830,ORIENTE
67857,ORINDIÚVA
67873,ORLÂNDIA
67890,OSASCO
67911,OSCAR BRESSANE
67938,OSVALDO CRUZ
67954,OURINHOS
67970,OURO VERDE
67997,PACAEMBU
68012,PALESTINA
68039,PALMARES PAULISTA
68055,PALMEIRA D'OESTE
68071,PALMITAL
68098,PANORAMA
68110,PARAGUAÇU PAULISTA
68136,PARAIBUNA
68152,PARAÍSO
68179,PARANAPANEMA
68195,PARANAPUÃ
68217,PARAPUÃ
68233,PARDINHO
68250,PARIQUERA-AÇU
68276,PATROCÍNIO PAULISTA
68292,PAULICÉIA
68314,PAULÍNIA
68330,PAULO DE FARIA
68357,PEDERNEIRAS
68373,PEDRA BELA
68390,PEDRANÓPOLIS
68411,PEDREGULHO
68438,PEDREIRA
68454,PEDRO DE TOLEDO
68470,PENÁPOLIS
68497,PEREIRA BARRETO
68519,PEREIRAS
68535,PERUÍBE
68551,PIACATU
68578,PIEDADE
68594,PILAR DO SUL
68616,PINDAMONHANGABA
68632,PINDORAMA
68659,ESPÍRITO SANTO DO PINHAL
68675,PINHALZINHO
68691,PIQUEROBI
68713,PIQUETE
68730,PIRACAIA
68756,PIRACICABA
68772,PIRAJU
68799,PIRAJUÍ
68810,PIRANGI
68837,PIRAPORA DO BOM JESUS
68853,PIRAPOZINHO
68870,PIRASSUNUNGA
68896,PIRATININGA
68918,PITANGUEIRAS
68934,PLANALTO
68950,PLATINA
68977,POÁ
68993,POLONI
69019,POMPÉIA
69035,PONGAÍ
69051,PONTAL
69078,PONTES GESTAL
69094,POPULINA
69116,PORANGABA
69132,PORTO FELIZ
69159,PORTO FERREIRA
69175,POTIRENDABA
69191,PRADÓPOLIS
69213,PRAIA GRANDE
69230,PRESIDENTE ALVES
69256,PRESIDENTE BERNARDES
69272,PRESIDENTE EPITÁCIO
69299,PRESIDENTE PRUDENTE
69310,PRESIDENTE VENCESLAU
69337,PROMISSÃO
69353,QUATÁ
69370,QUEIROZ
69396,QUELUZ
69418,QUINTANA
69434,RAFARD
69450,RANCHARIA
69477,REDENÇÃO DA SERRA
69493,REGENTE FEIJÓ
69515,REGINÓPOLIS
69531,REGISTRO
69558,RESTINGA
69574,RIBEIRA
69590,RIBEIRÃO BONITO
69612,RIBEIRÃO BRANCO
69639,RIBEIRÃO CORRENTE
69655,RIBEIRÃO DO SUL
69671,RIBEIRÃO PIRES
69698,RIBEIRÃO PRETO
69710,RIVERSUL
69736,RIFAINA
69752,RINCÃO
69779,RINÓPOLIS
69795,RIO CLARO
69817,RIO DAS PEDRAS
69833,RIO GRANDE DA SERRA
69850,RIOLÂNDIA
69876,ROSEIRA
69892,RUBIÁCEA
69914,RUBINÉIA
69930,SABINO
69957,SAGRES
69973,SALES
69990,SALES OLIVEIRA
70017,SALESÓPOLIS
70033,SALMOURÃO
70050,SALTO
70076,SALTO DE PIRAPORA
70092,SALTO GRANDE
70114,SANDOVALINA
70130,SANTA ADÉLIA
70157,SANTA ALBERTINA
70173,SANTA BÁRBARA D'OESTE
70190,ÁGUAS DE SANTA BÁRBARA
70211,SANTA BRANCA
70238,SANTA CLARA D'OESTE
70254,SANTA CRUZ DA CONCEIÇÃO
70270,SANTA CRUZ DAS PALMEIRAS
70297,SANTA CRUZ DO RIO PARDO
70319,SANTA ERNESTINA
70335,SANTA FÉ DO SUL
70351,SANTA GERTRUDES
70378,SANTA ISABEL
70394,SANTA LÚCIA
70416,SANTA MARIA DA SERRA
70432,SANTA MERCEDES
70459,SANTANA DA PONTE PENSA
70475,SANTANA DE PARNAÍBA
70491,SANTA RITA D'OESTE
70513,SANTA RITA DO PASSA QUATRO
70530,SANTA ROSA DE VITERBO
70556,SANTO ANASTÁCIO
70572,SANTO ANDRÉ
70599,SANTO ANTÔNIO DA ALEGRIA
70610,SANTO ANTÔNIO DE POSSE
70637,SANTO ANTÔNIO DO JARDIM
70653,SANTO ANTÔNIO DO PINHAL
70670,SANTO EXPEDITO
70696,SANTÓPOLIS DO AGUAPEÍ
70718,SANTOS
70734,SÃO BENTO DO SAPUCAÍ
70750,SÃO BERNARDO DO CAMPO
70777,SÃO CAETANO DO SUL
70793,SÃO CARLOS
70815,SÃO FRANCISCO
70831,SÃO JOÃO DA BOA VISTA
70858,SÃO JOÃO DAS DUAS PONTES
70874,SÃO JOÃO DO PAU D'ALHO
70890,SÃO JOAQUIM DA BARRA
70912,SÃO JOSÉ DA BELA VISTA
70939,SÃO JOSÉ DO BARREIRO
70955,SÃO JOSÉ DO RIO PARDO
70971,SÃO JOSÉ DO RIO PRETO
70998,SÃO JOSÉ DOS CAMPOS
71013,SÃO LUÍS DO PARAITINGA
71030,SÃO MANUEL
71056,SÃO MIGUEL ARCANJO
71072,SÃO PAULO
71099,SÃO PEDRO
71110,SÃO PEDRO DO TURVO
71137,SÃO ROQUE
71153,SÃO SEBASTIÃO
71170,SÃO SEBASTIÃO DA GRAMA
71196,SÃO SIMÃO
71218,SÃO VICENTE
71234,SARAPUÍ
71250,SARUTAIÁ
71277,SEBASTIANÓPOLIS DO SUL
71293,SERRA AZUL
71315,SERRANA
71331,SERRA NEGRA
71358,SERTÃOZINHO
71374,SETE BARRAS
71390,SEVERÍNIA
71412,SILVEIRAS
71439,SOCORRO
71455,SOROCABA
71471,SUD MENNUCCI
71498,SUMARÉ
71510,SUZANO
71536,TABAPUÃ
71552,TABATINGA
71579,TABOÃO DA SERRA
71595,TACIBA
71617,TAGUAÍ
71633,TAIAÇU
71650,TAIÚVA
71676,TAMBAÚ
71692,TANABI
71714,TAPIRAÍ
71730,TAPIRATIBA
71757,TAQUARITINGA
71773,TAQUARITUBA
71790,TARABAI
71811,TATUÍ
71838,TAUBATÉ
71854,TEJUPÁ
71870,TEODORO SAMPAIO
71897,TERRA ROXA
71919,TIETÊ
71935,TIMBURI
71951,TORRINHA
71978,TREMEMBÉ
71994,TRÊS FRONTEIRAS
72010,TUPÃ
72036,TUPI PAULISTA
72052,TURIÚBA
72079,TURMALINA
72095,UBATUBA
72117,UBIRAJARA
72133,UCHOA
72150,UNIÃO PAULISTA
72176,URÂNIA
72192,URU
72214,URUPÊS
72230,VALENTIM GENTIL
72257,VALINHOS
72273,VALPARAÍSO
72311,VARGEM GRANDE DO SUL
72338,VÁRZEA PAULISTA
72354,VERA CRUZ
72370,VINHEDO
72397,VIRADOURO
72419,VISTA ALEGRE DO ALTO
72435,VOTORANTIM
72451,VOTUPORANGA
72737,VARGEM GRANDE PAULISTA
